EMIS,District,CMC,Circuit, School: ,District: ,POD Number,Date Received,Item Description,Serial Number
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004421005515930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004421004705930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004421004805930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004421005305930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004421004605930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU1100442100555930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004421005405930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004421005205930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004221005205930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004221004605930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004221005405930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004221005805930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004221005205930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004221005805930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004221005605930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004221005905930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004221005805930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004221005805930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004221005805930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004221005805930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004221005405930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004221005505930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004221005405930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004221005405930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004221005405930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004221005125930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004421005255930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJR71100N224008C85910
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJR71100N2240099A5910
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJR71100N224008C25910
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004421005155930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004421005255930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU110044210050E5930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004421005365930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU110044210040E5930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU110044210054E5930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU110044210054E5930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU110044210054E59330
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU110044210055E5930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004421004C35930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU110044210050D5930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU110044210055E5930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU110044210055A5930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU11004421004AF5930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU110044210053D5930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU110044210053A5930
154512.0,Umgungundlovu,Umngeni,Northdale,Heather Secondary School,Umgungundlovu,POD-005,2025-01-16,Data Projector,MRJTU110044210053E5930
